"ID_Caso","Moradia_regular","Moradia_Irregular","Moradia_Emergencial","Moradia_regular_esp","Moradia_Irregular_esp","Moradia_Emergencial_esp","Territorio","Comunidade_tradicional","Comunidade_tradicional_esp","titulado_Incra","Reconhecido_funai","Reconhecido_fund_palmares","Reconhecido_orgao_publico","Estrutura_Mat_predominante","Estrutura_Mat_predominante_esp","Estrutura_Insta_eletricas_hidraulica","Estrutura_Insta_eletricas_hidraulica_esp","Estrutura_Risco_geologico","Estrutura_Risco_geologico_esp","Estrutura_paredes_revesti","Estrutura_Acesso_internet","Estrutura_Acesso_internet_esp","Estrutura_danos_eventos_naturais","Estrutura_danos_eventos_naturais_esp","Fatores_risco_ambiental_infra","Fatores_risco_ambiental_infra_esp","Conflitos_Urbanos_Criminalidade","Conflitos_Urbanos_Criminalidade_esp","Conflitos_fundiarios_Agrarios","Conflitos_fundiarios_Agrarios_esp","Fatores_risco_outros","Fatores_risco_outros_esp","RV_Mudanca_domicilio","RV_Mudanca_domicilio_esp","Tempo_Situacao_Rua","Sit_Rua_Risco_Violencia","Tem_Contato_Familiar","Frequenta_Instituicao_Acolhimento","Especifique_Instituicao_Acolhimento","Expectativas_Futuro","Nomes_Vinculos_Afetivos"
"80","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"2","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"6","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"29","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"133","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"19","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"4","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"35","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"17","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"9","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"34","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"20","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"15","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"7","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"16","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"18","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"10","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"55","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"26","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"43","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"130","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"255","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"93","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"143","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"88","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"97","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"96","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"85","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"138","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"89","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"63","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"57","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"169","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"146","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"56","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"139","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"113","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"135","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"107","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"92","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"189","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"197","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"288","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"235","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"213","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"156","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"91","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"61","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"292","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"98","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"73","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"64","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"90","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"79","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"68","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"78","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"52","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"59","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"297","Falso","Falso","Falso",,,,,,,,,,,,,"Sim",,"Sim",,"Sim","Sim",,"Sim",,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"99","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"100","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"67","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"66","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"71","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"84","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"148","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"117","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"53","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"125","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"123","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"114","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"51","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"87","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"289","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"58","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"111","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"128","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"86","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"129","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"164","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"108","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"62","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"102","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"144","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"109","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"134","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"112","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"137","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"140","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"179","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"103","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"76","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"277","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"237","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"118","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"271","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"258","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"136","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"70","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"162","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"190","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"126","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"261","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"82","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"72","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"101","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"315","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"176","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"279","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"151","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"110","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"120","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"132","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"159","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"236","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"145","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"290","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"198","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"251","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"160","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"149","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"264","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"301","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"104","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"122","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"184","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"195","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"298","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"172","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"154","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"222","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"252","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"209","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"299","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"259","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"309","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"141","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"241","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"291","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"81","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"131","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"332","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"341","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
"167","Falso","Falso","Falso",,,,,,,,,,,,,,,,,,,,,,"Falso",,"Falso",,"Falso",,"Falso",,,,,,,,,,
